Ranking by Gender & Year,First Name,Frequency,Gender,Year
710,Gregory ,5,Boy,2021
710,Gurfateh ,5,Boy,2021
710,Gurtaj ,5,Boy,2021
710,Hadi ,5,Boy,2021
710,Haroon,5,Boy,2021
710,Hasan ,5,Boy,2021
710,Hayze ,5,Boy,2021
710,Henri ,5,Boy,2021
710,Hezekiah ,5,Boy,2021
710,Isaak ,5,Boy,2021
710,Iver ,5,Boy,2021
710,Jaiden ,5,Boy,2021
710,Jaxtyn ,5,Boy,2021
710,Jaxxon ,5,Boy,2021
710,Jeffrey ,5,Boy,2021
710,Jigar,5,Boy,2021
710,Joziah ,5,Boy,2021
710,Junior ,5,Boy,2021
710,Kacey ,5,Boy,2021
710,Kairo ,5,Boy,2021
710,Karam,5,Boy,2021
710,Keith ,5,Boy,2021
710,Kellan ,5,Boy,2021
710,King ,5,Boy,2021
710,Korbin ,5,Boy,2021
710,Kyan ,5,Boy,2021
710,Kylian ,5,Boy,2021
710,Lars ,5,Boy,2021
710,Ledger ,5,Boy,2021
710,Leonard ,5,Boy,2021
710,Llewyn ,5,Boy,2021
710,Lucian ,5,Boy,2021
710,Mac ,5,Boy,2021
710,Makai ,5,Boy,2021
710,Marcel ,5,Boy,2021
710,Marko ,5,Boy,2021
710,Matheo ,5,Boy,2021
710,Mattias ,5,Boy,2021
710,Meron ,5,Boy,2021
710,Mikael ,5,Boy,2021
710,Miran,5,Boy,2021
710,Monty ,5,Boy,2021
710,Moses ,5,Boy,2021
710,Mubarak ,5,Boy,2021
710,Muhammed ,5,Boy,2021
710,Nayel,5,Boy,2021
710,Niam,5,Boy,2021
710,Noel ,5,Boy,2021
710,Olivier ,5,Boy,2021
710,Olsen ,5,Boy,2021
710,Onyx ,5,Boy,2021
710,Orhan,5,Boy,2021
710,Phillip ,5,Boy,2021
710,Rayden ,5,Boy,2021
710,Ren ,5,Boy,2021
710,Revan ,5,Boy,2021
710,Rex ,5,Boy,2021
710,Riaan,5,Boy,2021
710,Riggs ,5,Boy,2021
710,Rihaan,5,Boy,2021
710,Rohan ,5,Boy,2021
710,Roland ,5,Boy,2021
710,Rupert ,5,Boy,2021
710,Ryatt ,5,Boy,2021
710,Ryle ,5,Boy,2021
710,Rylee ,5,Boy,2021
710,Saif ,5,Boy,2021
710,Samir,5,Boy,2021
710,Shivansh,5,Boy,2021
710,Steele ,5,Boy,2021
710,Stefan,5,Boy,2021
710,Taim ,5,Boy,2021
710,Teddy ,5,Boy,2021
710,Tenzin ,5,Boy,2021
710,Titan ,5,Boy,2021
710,Toby ,5,Boy,2021
710,Tom ,5,Boy,2021
710,Tony,5,Boy,2021
710,Uriah ,5,Boy,2021
710,Usman ,5,Boy,2021
710,Vardaan ,5,Boy,2021
710,Viktor ,5,Boy,2021
